Name,Rating,Reviews,Average_Price(¥),Popularity_Score,Access,Tabelog_URL
"うなぎ四代目菊川 クロスゲート金沢店",3.50,130,5500,34.0,"金沢駅西口から徒歩2分","https://tabelog.com/ishikawa/A1701/A170101/17012280/"
"一誠",3.03,5,17500,1.1,"近江町や金沢駅から徒歩約１０分","https://tabelog.com/ishikawa/A1701/A170101/17015151/"
"吟の小判",3.30,57,5500,14.0,"JR金沢駅東口から徒歩1分(地下連絡通路で接続)","https://tabelog.com/ishikawa/A1701/A170101/17000539/"
"炉端とおでん 呼炉凪来 金沢駅前店",3.13,99,2500,23.1,"金沢駅徒歩2分\n北鉄金沢駅徒歩1分","https://tabelog.com/ishikawa/A1701/A170101/17014669/"
"すずや",3.53,123,6500,32.4,"金沢駅兼六園口（東口）より徒歩8分","https://tabelog.com/ishikawa/A1701/A170101/17008378/"
"鹿児島県霧島市 塚田農場 金沢駅西口店",3.03,34,3500,7.7,"①JR西日本 金沢駅\n兼六園口(東口)広場 徒歩2分","https://tabelog.com/ishikawa/A1701/A170101/17010651/"
"個室居酒屋 九十九 金沢店",3.08,57,2500,13.1,"北陸鉄道浅野川線 北鉄金沢駅 徒歩1分","https://tabelog.com/ishikawa/A1701/A170101/17012309/"
"和酒と和談 かこみ料理 醍庵",3.44,143,3500,36.7,"JR金沢駅兼六園口(東口)より徒歩2分","https://tabelog.com/ishikawa/A1701/A170101/17000368/"
"くいもの屋わん 金沢駅前店",3.03,23,3500,5.2,"金沢駅兼六園口(東口）からすぐ！","https://tabelog.com/ishikawa/A1701/A170101/17008925/"
"肉＆おでん 金沢風土研究所",3.30,71,5500,17.5,"金沢駅東口から正面玄関エスカレーターを下りて日航ホテル（ポルテ金沢B1F）方面【徒歩3～5分】","https://tabelog.com/ishikawa/A1701/A170101/17011432/"
"居酒屋はち丸 別館",3.17,56,5500,16.6,"金沢駅兼六園口（東口）より徒歩5分。六枚町交差点近くです。","https://tabelog.com/ishikawa/A1701/A170101/17010422/"
"焼肉ホルモン誠 金沢駅前店",3.08,10,3500,2.3,"金沢駅から徒歩5分\n（ファミリーマートの裏の1階）","https://tabelog.com/ishikawa/A1701/A170101/17014876/"
"はち丸 金沢駅前店",3.50,217,5500,56.7,"JR北陸本線「金沢」駅兼六園口より徒歩5分","https://tabelog.com/ishikawa/A1701/A170101/17006946/"
"ざくろ",3.31,83,4500,20.5,"JR金沢駅東口から徒歩3分/セントラルアークビル3F","https://tabelog.com/ishikawa/A1701/A170101/17000566/"
"ステーキ片瀬",3.34,32,6500,8.0,"JR金沢駅徒歩5分","https://tabelog.com/ishikawa/A1701/A170101/17008235/"
"おでん 煌星",3.08,19,2000,4.4,"金沢駅東口堤門より近江町市場方面へ途中で左折し別院通り中ほど\n金沢駅より徒歩６～７分ほど","https://tabelog.com/ishikawa/A1701/A170101/17014359/"
"博多もつ鍋 馬肉 九州自慢 金沢駅前店",3.08,23,3500,5.3,"JR金沢駅より徒歩5分！","https://tabelog.com/ishikawa/A1701/A170101/17010848/"
"炭火焼鶏Ryo 金沢駅前本店",3.25,48,3500,11.6,"金沢駅から徒歩5分。\n車でお越しの場合は、すぐそばにコインパーキング有り。","https://tabelog.com/ishikawa/A1701/A170101/17006721/"
"金沢炉端あっぱれ 金沢駅前店",3.49,75,5500,19.5,"JR北陸本線「金沢駅」東口より徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17014747/"
"おすしと原始焼 金沢 なかむら",3.20,33,8500,7.9,"JR金沢駅兼六園口より徒歩約7分","https://tabelog.com/ishikawa/A1701/A170101/17014421/"
"天ぷら専門 イチバン",3.31,39,4500,9.6,"金沢駅西口（金沢港口）より徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17012776/"
"焼肉ホルモン 芝生",3.26,36,5500,8.8,"金沢駅鼓門（東口）より徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17011811/"
"座吟",3.27,36,5500,8.8,"JR金沢駅　徒歩3分/サンファーストビル2階","https://tabelog.com/ishikawa/A1701/A170101/17010891/"
"北陸海鮮 金沢おでん 海力",3.34,67,5500,16.7,"金沢駅から徒歩3分\n東口から出て鼓門を正面にして左に向かい信号を渡り2件目の居酒屋","https://tabelog.com/ishikawa/A1701/A170101/17014132/"
"全席完全個室居酒屋 和ノ音 金沢駅前店",3.35,71,2500,17.8,"金沢駅徒歩2分","https://tabelog.com/ishikawa/A1701/A170101/17014237/"
"金沢彩旬(アパホテル金沢駅前)",3.06,12,5500,2.7,"「金沢駅」金沢港口（西口）から徒歩1分\n小松空港から金沢駅直通バス40分","https://tabelog.com/ishikawa/A1701/A170101/17014392/"
"大衆酒場 酔いどれ 金沢駅前店",3.08,27,2500,6.2,"金沢駅東口 徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17014241/"
"restaurant ecoutieres",3.15,14,25000,3.3,"金沢駅西口より徒歩７分","https://tabelog.com/ishikawa/A1701/A170101/17013984/"
"TILE",3.26,56,3500,13.6,"北陸鉄道浅野川線 北鉄金沢駅 徒歩2分\nＪＲ北陸本線 金沢駅 徒歩5分","https://tabelog.com/ishikawa/A1701/A170101/17012705/"
"個室居酒屋 四季彩 金沢駅前店",3.08,22,4500,5.1,"北陸鉄道浅野川線北鉄金沢駅出口より徒歩約1分","https://tabelog.com/ishikawa/A1701/A170101/17012134/"
"NEW DELHI 金沢駅前店",3.13,21,2000,4.9,"JR西日本北陸新幹線・北陸本線、\nIRいしかわ鉄道線 「金沢」駅 金沢港口（西口）より徒歩1分","https://tabelog.com/ishikawa/A1701/A170101/17014737/"
"居酒屋 丸奄",3.17,21,4500,4.7,"金沢駅東口より徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17009015/"
"金沢おでんと炭火焼鳥 個室居酒屋 がっぱ 金沢駅前店",3.36,87,4500,21.8,"金沢駅東口徒歩2分/兼六園口から信号を渡った右手","https://tabelog.com/ishikawa/A1701/A170101/17012294/"
"焼肉 いちぼ 金沢駅前店",3.13,22,5500,5.2,"金沢駅東口より徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17012062/"
"鉄板屋燈",3.21,24,5500,5.8,"金沢駅から徒歩５分","https://tabelog.com/ishikawa/A1701/A170101/17010673/"
"寿し・すき焼き あかめちゃん",3.10,17,5500,3.9,"JR金沢駅より東口から徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17013794/"
"大衆酒場魚八",3.37,53,4500,13.3,"JR金沢駅西口：徒歩5分","https://tabelog.com/ishikawa/A1701/A170101/17010998/"
"しゃぶしゃぶ温野菜 金沢駅ビル店",3.03,22,3500,5.0,"金沢駅内。金沢百番街くつろぎ館3F","https://tabelog.com/ishikawa/A1701/A170101/17000742/"
"鮨 はち丸",3.54,56,12500,14.8,"金沢駅から徒歩5分。","https://tabelog.com/ishikawa/A1701/A170101/17013695/"
"旬菜ダイニング あかり屋",3.00,5,4500,1.1,"北陸鉄道浅野川線北鉄金沢駅出口より徒歩約5分","https://tabelog.com/ishikawa/A1701/A170101/17014512/"
"つづみ",3.17,29,3500,6.9,"金沢駅東口より徒歩5分","https://tabelog.com/ishikawa/A1701/A170101/17008441/"
"スペイン料理 ブランコ",3.35,61,4500,15.3,"ＪＲ北陸本線金沢駅　兼六園口より徒歩約7分","https://tabelog.com/ishikawa/A1701/A170101/17008155/"
"千房 金沢フォーラス店",3.06,47,2000,10.7,"金沢駅より10分","https://tabelog.com/ishikawa/A1701/A170101/17006654/"
"寿司居酒屋 や台ずし 金沢本町",3.04,22,2500,5.0,"ＪＲ北陸本線 金沢 A-8徒歩4分","https://tabelog.com/ishikawa/A1701/A170101/17013426/"
"地酒と和個室居酒屋 蔵の間 金沢駅前店",3.04,8,3500,1.8,"北陸鉄道浅野川線 北鉄金沢駅 徒歩2分","https://tabelog.com/ishikawa/A1701/A170101/17011398/"
"すし食いねぇ! 金沢駅前店",3.50,161,2000,42.1,"ＩＲいしかわ鉄道 金沢駅 徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17014774/"
"旬炉 十万喜",3.22,39,4500,9.2,"［電車・バス・徒歩の場合］\nJR金沢駅東口を出て、武蔵方面/別院通り方面へ徒歩約5分","https://tabelog.com/ishikawa/A1701/A170101/17010529/"
"寿し龍",3.27,45,4500,10.7,"金沢駅から徒歩１０分","https://tabelog.com/ishikawa/A1701/A170101/17000290/"
"喜乃屋",3.42,101,5500,25.8,"JR金沢駅から徒歩８分。","https://tabelog.com/ishikawa/A1701/A170101/17003312/"
"GOEN",3.29,57,4500,13.6,"JR金沢駅東口より徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17008861/"
"金沢味食亭 よし久",3.46,68,4000,17.6,"金沢駅東口から徒歩約5～7分","https://tabelog.com/ishikawa/A1701/A170101/17000538/"
"居酒屋 ちょん兵衛",3.39,91,4500,23.0,"ＪＲ北陸本線 金沢駅 東口 徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17000263/"
"酒粋 醍醐",3.73,359,6500,100.0,"石川県金沢市安江町19-4","https://tabelog.com/ishikawa/A1701/A170101/17009374/"
"大名茶家",3.45,150,4500,38.6,"北陸本線金沢駅東口より徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17000276/"
"和台",3.56,133,4500,35.3,"金沢駅を出て金沢駅前東の交差点をまっすぐ堀川町交差点を右手に路地を入って頂くとすぐ左手に御座います。","https://tabelog.com/ishikawa/A1701/A170101/17008407/"
"喜はな",3.41,85,4500,21.6,"金沢駅から徒歩3〜5分","https://tabelog.com/ishikawa/A1701/A170101/17007471/"
"アルカンシェール アパホテル金沢駅前",3.07,8,4500,1.8,"ＪＲ北陸本線 金沢駅 西口 徒歩1分","https://tabelog.com/ishikawa/A1701/A170101/17000404/"
"銀杏",3.52,52,8000,13.7,"JR金沢駅兼六園口から徒歩約3分 (地下道で直結)","https://tabelog.com/ishikawa/A1701/A170101/17000097/"
"旅亭 まんぷく クロスゲート金沢店",3.18,25,3500,5.9,"・電車・お車・バス\n金沢駅西口徒歩1分","https://tabelog.com/ishikawa/A1701/A170101/17014014/"
"桃李",3.29,48,8000,11.8,"JR金沢駅兼六園口徒歩3分 (地下連絡通路でも接続)","https://tabelog.com/ishikawa/A1701/A170101/17000098/"
"ラ・プラージュ",3.53,38,8000,10.0,"ＪＲ金沢駅兼六園口より徒歩３分","https://tabelog.com/ishikawa/A1701/A170101/17008518/"
"バイキングレストラン ラ・ベランダ アパホテル金沢駅前",3.08,44,3000,10.1,"ＪＲ北陸本線 金沢駅 西口 徒歩1分","https://tabelog.com/ishikawa/A1701/A170101/17000271/"
"薪火三庵",3.18,23,12500,5.5,"金沢駅より徒歩５分【リファーレ金沢】横","https://tabelog.com/ishikawa/A1701/A170101/17013159/"
"笑笑 金沢東口駅前店",3.02,15,2500,3.4,"JR金沢駅東口を出て左に曲がり徒歩3分。","https://tabelog.com/ishikawa/A1701/A170101/17001166/"
"ザ・ガーデンハウス",3.44,121,5500,30.9,"JR金沢駅兼六園口から徒歩約3分 (地下連絡通路でも接続)","https://tabelog.com/ishikawa/A1701/A170101/17000099/"
"弁慶",3.66,348,7500,95.1,"ＪＲ金沢駅兼六園口より徒歩３分","https://tabelog.com/ishikawa/A1701/A170101/17000101/"
"焼肉うら",3.09,37,4500,8.6,"金沢駅より徒歩５分","https://tabelog.com/ishikawa/A1701/A170101/17001892/"
"とと屋",3.08,56,3500,12.9,"金沢駅兼六園口(東口)より徒歩3分。ホテル日航金沢さん並び、東急インさん向い。","https://tabelog.com/ishikawa/A1701/A170101/17006904/"
"手創り旬菜と和食 せん 金沢駅前店",3.43,260,3500,66.5,"金沢駅東口から徒歩約２分 (ホテル日航金沢向い)","https://tabelog.com/ishikawa/A1701/A170101/17000311/"
"魚がし酒場 魚せん 広岡店",3.18,59,3500,14.0,"金沢駅西口から徒歩５分。金沢駅西広岡交差点。西口時計台駐車場並び。","https://tabelog.com/ishikawa/A1701/A170101/17005288/"
"べに屋",3.14,52,3000,12.2,"金沢駅から徒歩約3分","https://tabelog.com/ishikawa/A1701/A170101/17007340/"
"加能漁菜 SHION",3.29,42,3500,10.3,"金沢駅から徒歩7分","https://tabelog.com/ishikawa/A1701/A170101/17011858/"
"旬魚季菜 一滴",3.07,19,4500,4.4,"JR金沢駅から徒歩3分","https://tabelog.com/ishikawa/A1701/A170101/17010895/"
"水魚",3.43,193,3000,49.4,"金沢駅から徒歩１分","https://tabelog.com/ishikawa/A1701/A170101/17007808/"
"金沢焼肉楽処 万場 駅前本店",3.09,32,5500,7.4,"ＪＲ北陸本線 金沢駅東口（鼓門側 ）より徒歩5分","https://tabelog.com/ishikawa/A1701/A170101/17000656/"
"居酒屋 小路",3.08,18,3500,4.1,"金沢駅から650ｍ","https://tabelog.com/ishikawa/A1701/A170101/17004555/"
"いたちゃん。",3.15,29,3500,6.8,"金沢駅前、ガスト裏。金沢駅より徒歩5分","https://tabelog.com/ishikawa/A1701/A170101/17007766/"
"旨い魚と野菜の金澤じわもん料理 波の花",3.14,32,2000,7.5,"JR金沢駅西口より徒歩5分","https://tabelog.com/ishikawa/A1701/A170101/17009319/"